id_personne,Doctor 6,Dog 29,Fence 6,Galaxy 3,Gun 1,Gun 2,Intensity 1,Swingset 1,Waterfall 1
2,3,4,5,4,1,3,1,2,1
3,4,7,6,7,1,3,1,5,1
4,4,6,6,7,1,3,1,5,1
