timestamp,v,a,vv,av,va,aa,vt,at,mark
1777993205.4092958,-0.29399205570474796,-0.06926839486488053,0.6585688329244518,-0.9977116513784892,0.3311655521392822,0.37110936641693115,-0.14759346842765808,-0.012729277834296227,1
1777993180.0202572,-0.10031841031470887,-0.07334257572687261,-0.414022589972562,-0.35680203049331805,0.05747556686401367,0.04885101318359375,0.10839898139238358,-0.06197764724493027,0
1777993182.0202572,-0.03776431894921246,0.22844110576344373,-0.3950611302180722,0.5730193234356044,0.34796178340911865,0.17210173606872559,0.10839898139238358,-0.06197764724493027,0
1777993184.0202572,0.11231955823701081,0.13403928424023,0.0,0.0,0.34578025341033936,0.25895142555236816,0.10839898139238358,-0.06197764724493027,0
1777993186.0202572,0.11418492160510182,0.13073855988945593,0.0,0.0,0.3555734157562256,0.2530834674835205,0.10839898139238358,-0.06197764724493027,0
1777993188.0202572,0.08891083855923176,0.08269627020086395,0.0,0.0,0.2228844165802002,0.16767489910125732,0.10839898139238358,-0.06197764724493027,0
1777993190.0202572,0.07072675301636933,0.12813376776025076,0.0,0.0,0.1274179220199585,0.24845272302627563,0.10839898139238358,-0.06197764724493027,0
1777993192.0202572,0.06984049481354818,0.13200999322309456,0.0,0.0,0.12276506423950195,0.25534379482269287,0.10839898139238358,-0.06197764724493027,0
1777993194.0202572,0.07855498491486054,0.15284377050426037,0.0,0.0,0.1685161590576172,0.2923816442489624,0.10839898139238358,-0.06197764724493027,0
1777993196.0202572,0.10424745830802334,0.15040235832956236,0.0,0.0,0.3034017086029053,0.288041353225708,0.10839898139238358,-0.06197764724493027,0
1777993198.0202572,0.05825013595178791,0.17279445051056447,-0.03086578087140718,0.003871846678421001,0.12364721298217773,0.3261287212371826,0.10839898139238358,-0.06197764724493027,0
1777993200.0202572,0.15520754408897797,-0.05322262802678777,0.22364753668547696,-0.9001970325136843,0.12364721298217773,0.3261287212371826,0.10839898139238358,-0.06197764724493027,0
1777993202.0202572,0.28785126283182316,-0.07995384950549353,0.4837442132001801,-0.9920589676498258,0.2998337149620056,0.3194340467453003,0.10839898139238358,-0.06197764724493027,0
1777993204.0202572,0.4254471296510684,-0.051448924433315286,0.829267617006894,-0.9943086653599695,0.3311655521392822,0.37110936641693115,0.10839898139238358,-0.06197764724493027,0
1777993205.4388597,0.25758377147650063,-0.05211971846502655,0.3886260919694559,-0.9969918431637996,0.3311655521392822,0.37110936641693115,0.10839898139238358,-0.06197764724493027,0
1777993215.8721528,-0.09835645191081596,-0.2291967784399168,-0.3543040447063983,-0.7443906161872835,0.32436561584472656,-0.07822155952453613,-0.058724064379930496,0.0048019178211688995,0
1777993217.8721528,0.08102414728337104,-0.33055155057250113,0.20548911713111187,-0.7060032055420281,0.14652788639068604,-0.27546900510787964,-0.058724064379930496,0.0048019178211688995,0
1777993219.8721528,-0.08838036212677958,-0.426397371801687,-0.17543306165939168,-0.9133947925552048,0.018998146057128906,-0.3536876440048218,-0.058724064379930496,0.0048019178211688995,0
1777993220.4899921,-0.24385777454285973,-0.3240418020866005,-0.5835614635983677,-0.5039722578059348,0.018998146057128906,-0.3536876440048218,-0.058724064379930496,0.0048019178211688995,0
1777993230.0506923,-0.135817560688755,-0.3118957924464401,-0.5467015607956119,-0.09616440307009679,-0.1683645248413086,-0.4923596978187561,0.2438778281211853,-0.058146968483924866,0
1777993232.0506923,-0.0433151856956298,-0.04007418937518917,-0.44543086754897077,0.18406597864489896,0.1147317886352539,-0.13366782665252686,0.2438778281211853,-0.058146968483924866,0
1777993234.0506923,0.009727526942389259,-0.14779803468908614,-0.41325321893519035,-0.3589765859255817,0.3288508653640747,-0.0838247537612915,0.2438778281211853,-0.058146968483924866,0
1777993234.7618,0.1747985149085037,-0.12480455772530673,0.020058330814595127,-0.26700262058677166,0.3288508653640747,-0.0838247537612915,0.2438778281211853,-0.058146968483924866,0
