id_personne,Doctor 6,Dog 29,Fence 6,Galaxy 3,Gun 1,Gun 2,Intensity 1,Swingset 1,Waterfall 1
2,3,4,5,4,1,3,1,2,1
3,4,7,6,7,1,3,1,5,1
4,4,6,6,7,1,3,1,5,1
8,6,6,4,5,2,2,7,4,5
10,4,7,5,4,1,1,2,5,4
12,5,5,3,7,2,2,2,4,6
14,3,6,5,6,2,2,4,3,4
