timestamp,v,a,vv,av,va,aa,vt,at,mark
1778686912.513164,0.09310782576067825,-0.2696534083449,-0.984091197588556,-0.6488546402073232,0.1977701187133789,-0.04727292060852051,1.0,-0.207490436732769,0
1778686920.9893785,-0.3690764825435391,0.22716183938664983,-0.9616717205762905,0.4384730368366326,0.13969147205352783,0.24331510066986084,-0.06844466086477041,-0.10304545052349567,0
1778686922.86567,-0.35501803273146465,0.20875210606075903,-0.9727796347991757,0.602217065511971,0.23571419715881348,0.137811541557312,-0.06844466086477041,-0.10304545052349567,0
1778686924.9409835,-0.7679152299158029,0.3236709618054604,-0.9588745993116918,0.4267779667553864,0.13619232177734375,0.05240297317504883,-1.0,1.0,0
1778686926.9409835,-0.7478702876884357,0.315147411757883,-0.9581515040916586,0.47710278712822635,0.23998212814331055,0.01488339900970459,-1.0,1.0,0
1778686928.9409835,-0.7485537666235219,0.3326356969346623,-0.9377966703613633,0.7996095537475234,0.19568419456481934,-0.09736263751983643,-1.0,1.0,0
1778686930.9409835,-0.7262552122632977,0.2687264270582317,-0.8804010283799228,0.660591409674887,0.19796037673950195,-0.14919334650039673,-1.0,1.0,0
1778686932.9409835,-0.7247702997571629,0.36959413906857363,-0.8675924752198366,0.7827930638701768,0.18013906478881836,-0.024184703826904297,-1.0,1.0,0
1778686934.9409835,-0.7522432398972221,0.29807926899287013,-0.9012584979212208,0.3033482805736446,0.10323810577392578,0.06176424026489258,-1.0,1.0,0
1778686936.9409835,-0.7719499071791451,0.31524693952075517,-0.9778004476734786,0.4618740804868685,0.15286195278167725,0.021828651428222656,-1.0,1.0,0
1778686938.9409835,-0.7191619809610157,0.3963754076502917,-0.845429825934371,0.7460117906414011,0.16525745391845703,0.03977370262145996,-1.0,1.0,0
1778686940.9409835,-0.731642963260846,0.37940573675340267,-0.8817222667408968,0.5596350820084748,0.17231714725494385,0.09243947267532349,-1.0,1.0,0
1778686942.9409835,-0.733987848824945,0.40513808727651246,-0.9017848480199819,0.6654992874254347,0.20013165473937988,0.09113514423370361,-1.0,1.0,0
1778686944.9409835,-0.7227820171476413,0.4640852502113088,-0.9000264386634199,0.7849038187255206,0.2554454803466797,0.1428614854812622,-1.0,1.0,0
1778686946.9409835,-0.7044125306417808,0.45434689524424215,-0.9153797548575036,0.7234718536411582,0.38259196281433105,0.15285193920135498,-1.0,1.0,0
1778686948.9409835,-0.6625838398756915,0.35798868144838386,-0.7952441823251822,0.36917652201607826,0.3619215488433838,0.13901293277740479,-1.0,1.0,0
1778686950.9409835,-0.7326071189250762,0.33066661919379003,-0.9732796872801804,0.2623673704850125,0.3503701686859131,0.13791108131408691,-1.0,1.0,0
1778686951.2300537,-0.7318281088945846,0.4470776633561746,-0.9712347849763776,0.728011838162161,0.3503701686859131,0.13791108131408691,-1.0,1.0,0
1778686953.3044624,-0.29361467647835043,-0.11692899089749856,-0.8404985524759737,0.6677555015888923,-0.0171968936920166,-0.3316968083381653,0.0696516502648592,-0.5188719183206558,0
1778686955.3044624,-0.2064095636962671,0.0031886875587368163,-0.759015442338489,0.7869140518284446,0.2776639461517334,-0.1711134910583496,0.0696516502648592,-0.5188719183206558,0
1778686957.3044624,-0.22938981556888718,-0.05167086620410951,-0.7858524447713933,0.6197406880505687,0.21069157123565674,-0.19434237480163574,0.0696516502648592,-0.5188719183206558,0
1778686957.3064232,-0.27932469071645916,0.03206697441896314,-0.9169315544523637,0.9546922598874609,0.21069157123565674,-0.19434237480163574,0.0696516502648592,-0.5188719183206558,0
1778686959.3810349,-0.7880938052962081,0.20288887562904576,-0.9457365290391818,0.3983283733712895,0.003978610038757324,-0.1094544529914856,-1.0,0.8793335407972336,0
1778686961.3810349,-0.7985012762539151,0.3145192362505636,-0.9578268983514877,0.739474954027882,-0.026479899883270264,-0.06262105703353882,-1.0,0.8793335407972336,0
1778686963.3810349,-0.7723186289285302,0.2122370958947635,-0.9698434412410736,0.290909751863816,0.13501214981079102,-0.04509377479553223,-1.0,0.8793335407972336,0
1778686965.3810349,-0.7705716843978565,0.21741999864939585,-0.9465035254183115,0.25612635475386325,0.09750378131866455,-0.020420432090759277,-1.0,0.8793335407972336,0
1778686967.3810349,-0.8042152808959864,0.08453826079527006,-0.9627385583883538,-0.20451463730347363,-0.046655118465423584,-0.051925450563430786,-1.0,0.8793335407972336,0
1778686969.3810349,-0.7551586719167093,-0.097498382526639,-0.8620135032237813,-0.8858622816251963,0.00944209098815918,-0.07272517681121826,-1.0,0.8793335407972336,0
1778686970.251618,-0.795578425699164,-0.09273306088789388,-0.9681154074274175,-0.8668009831569118,0.00944209098815918,-0.07272517681121826,-1.0,0.8793335407972336,0
